magnitude_bin,records,q25_mmi,median_mmi,q75_mmi
1.25,32,1,1.3525,2.8975
1.5,51,1,1,3.535
1.75,40,1.9324999999999999,3.1695,4.08
2,46,2.1375,2.54,3.642
2.25,39,2.614,2.88,3.846
2.5,138,2.31625,3,3.6985
2.75,514,2.26475,2.8129999999999997,3.4375
3,1247,2.5915,3.2,3.76
3.25,2132,3.05,3.5255,4.01
3.5,3742,2.97,3.6665,4.12075
3.75,1965,2.599,3.68,4.27
4,1736,2.49,3.601,4.386
4.25,869,2.65,3.693,4.71
4.5,1164,3.14,4.541,5.5017499999999995
4.75,558,3.4837500000000006,4.7715,5.8865
5,895,3.5220000000000002,4.241,5.7775
5.25,1318,3.4305000000000003,3.979,5.0977500000000004
5.5,3447,3.675,4.17,5.33
5.75,1344,3.8735,4.55,5.642
6,1197,4.089,4.9,5.903
6.25,473,4.42,5.459,6.411
6.5,400,4.79925,5.7715,6.571
6.75,179,4.984,6.071,6.5920000000000005
7,146,5.45975,6.4755,7.07075
7.25,59,5.5005,6.62,7.105
7.5,71,5.5545,6.865,7.422000000000001
