"day","month","holiday"
1,1,"Vota Pvblica"
3,1,"Compitalia"
4,1,"Compitalia"
5,1,"Compitalia"
9,1,"Agonalia"
11,1,"Carmentalia"
13,1,"Ides"
15,1,"Carmentalia"
24,1,"Sementivae"
25,1,"Sementivae"
26,1,"Sementivae"
1,2,"Calends"
5,2,"Concordia"
13,2,"Parentatio"
15,2,"Lvpercalia"
17,2,"Fornacalia"
21,2,"Feralia"
22,2,"Caristia"
23,2,"Terminalia"
24,2,"Regifvgivm"
27,2,"Eqvirria"
1,3,"Feriae Marti"
7,3,"Vediovis"
9,3,"Dies Religiosvs "
14,3,"Sacrvm Mamvrio"
15,3,"Feriae Iovi"
17,3,"Liberalia"
19,3,"Qvinqvatrvs"
23,3,"Tvbilvstrivm"
24,3,"QRCF"
1,4,"Veneralia"
4,4,"Megalesia"
5,4,"Megalesia"
6,4,"Megalesia"
7,4,"Megalesia"
8,4,"Megalesia"
9,4,"Megalesia"
10,4,"Megalesia"
12,4,"Cerialia"
13,4,"Cerialia"
14,4,"Cerialia"
15,4,"Fordicidia"
16,4,"Cerialia"
17,4,"Cerialia"
18,4,"Cerialia"
19,4,"Cerialia"
21,4,"Parilia"
23,4,"Vinalia"
25,4,"Robigalia"
28,4,"Lvdi Florales"
29,4,"Lvdi Florales"
30,4,"Lvdi Florales"
1,5,"Lvdi Florales"
9,5,"Lemvria"
11,5,"Lemvria"
13,5,"Lemvria"
15,5,"Mercvralia"
21,5,"Agonalia"
23,5,"Tvbilvstrivm"
24,5,"Qvando Rex Comitiavit Fas"
1,6,"Calends"
7,6,"Lvdi Piscatorii"
8,6,"Vestalia"
9,6,"Vestalia"
10,6,"Vestalia"
11,6,"Matralia"
12,6,"Vestalia"
13,6,"Qvinqvatrvs minvscvlae"
14,6,"Qvinqvatrvs minvscvlae"
15,6,"Qvinqvatrvs minvscvlae"
24,6,"Flors Fortvna"
1,7,"Calends"
5,7,"Poplifvgia"
6,7,"Lvdi Apollinares"
7,7,"Nonae Caprotinae"
8,7,"Vitvlatio"
9,7,"Lvdi Apollinares"
10,7,"Lvdi Apollinares"
11,7,"Lvdi Apollinares"
12,7,"Lvdi Apollinares"
13,7,"Lvdi Apollinares"
15,7,"Transvectio eqvitvm"
18,7,"Dies ater"
19,7,"Lvcaria"
20,7,"Lvdi Victoriae Caesaris"
21,7,"Lvdi Victoriae Caesaris"
22,7,"Lvdi Victoriae Caesaris"
23,7,"Neptvnalia"
24,7,"Lvdi Victoriae Caesaris"
25,7,"Fvrrinalia"
26,7,"Lvdi Victoriae Caesaris"
27,7,"Lvdi Victoriae Caesaris"
28,7,"Lvdi Victoriae Caesaris"
29,7,"Lvdi Victoriae Caesaris"
30,7,"Lvdi Victoriae Caesaris"
1,8,"Calends"
3,8,"Svpplicia canvm"
5,8,"Sacrificivm pvblicvm"
9,8,"Sacrificivm pvblicvm"
13,8,"Nemoralia"
17,8,"Portvnalia"
19,8,"Vinalia Rvstica"
21,8,"Consvalia"
23,8,"Vvlcanalia"
25,8,"Opiconsivia"
27,8,"Voltvrnalia"
28,8,"Circvs Maximvs"
1,9,"Calends"
5,9,"Lvdi Romani"
6,9,"Lvdi Romani"
7,9,"Lvdi Romani"
8,9,"Lvdi Romani"
9,9,"Lvdi Romani"
10,9,"Lvdi Romani"
11,9,"Lvdi Romani"
12,9,"Lvdi Romani"
13,9,"Epvlvm Iovis"
14,9,"Eqvorvm probatio"
15,9,"Lvdi Romani"
16,9,"Lvdi Romani"
17,9,"Lvdi Romani"
18,9,"Lvdi Romani"
19,9,"Lvdi Romani"
1,10,"Calends"
3,10,"Lvdi Avgvstales"
4,10,"Ieivnivm Cereris"
5,10,"Lvdi Avgvstales"
6,10,"Dies ater"
7,10,"Lvdi Avgvstales"
8,10,"Lvdi Avgvstales"
9,10,"Lvdi Avgvstales"
10,10,"Lvdi Avgvstales"
11,10,"Meditrinalia"
12,10,"Avgvstalia"
13,10,"Fontinalia"
15,10,"Eqvvs October"
19,10,"Armilvstrivm"
26,10,"Lvdi Victoriae Svllanae"
27,10,"Lvdi Victoriae Svllanae"
28,10,"Lvdi Victoriae Svllanae"
29,10,"Lvdi Victoriae Svllanae"
30,10,"Lvdi Victoriae Svllanae"
31,10,"Lvdi Victoriae Svllanae"
1,11,"Lvdi circenses"
4,11,"Lvdi Plebeii"
5,11,"Lvdi Plebeii"
6,11,"Lvdi Plebeii"
7,11,"Lvdi Plebeii"
8,11,"Lvdi Plebeii"
9,11,"Lvdi Plebeii"
10,11,"Lvdi Plebeii"
11,11,"Lvdi Plebeii"
12,11,"Lvdi Plebeii"
13,11,"Epvlvm Jovis"
14,11,"Eqvorvm probatio"
15,11,"Lvdi Plebeii"
16,11,"Lvdi Plebeii"
17,11,"Lvdi Plebeii"
1,12,"Calends"
3,12,"Bona Dea"
5,12,"Nones"
11,12,"Agonalia"
13,12,"Ides"
15,12,"Consvalia"
17,12,"Satvrnalia"
18,12,"Eponalia"
19,12,"Opalia"
20,12,"Satvrnalia"
21,12,"Divalia"
22,12,"Satvrnalia"
23,12,"Larentalia"
25,12,"Dies Natalis Solis Invicti"
