"Num","LatinNumName"
0,"nihil"
1,"vnvs"
2,"dvo"
3,"tres"
4,"qvattvor"
5,"qvinqve"
6,"sex"
7,"septem"
8,"octo"
9,"novem"
10,"decem"
11,"vndecim"
12,"dvodecim"
13,"tredecim"
14,"quattvordecim"
15,"qvindecim"
16,"sedecim"
17,"septendecim"
18,"dvodeviginti"
19,"vndeviginti"
20,"viginti"
21,"viginti vnvs"
22,"viginti dvo"
23,"viginti tres"
24,"viginti qvattvor"
25,"viginti qvinqve"
26,"viginti sex"
27,"viginti septem"
28,"dvodetriginta"
29,"vndetriginta"
30,"triginta"
31,"triginta vnvs"
32,"triginta dvo"
33,"triginta tres"
34,"triginta qvattvor"
35,"triginta qvinqve"
36,"triginta sex"
37,"triginta septem"
38,"dvodeqvadraginta"
39,"vndeqvadraginta"
40,"qvadraginta"
41,"qvadraginta vnvs"
42,"qvadraginta dvo"
43,"qvadraginta tres"
44,"qvadraginta qvattvor"
45,"qvadraginta qvinqve"
46,"qvadraginta sex"
47,"qvadraginta septem"
48,"dvodeqvinqvaginta"
49,"vndeqvinqvaginta"
50,"qvinqvaginta"
51,"qvinqvaginta vnvs"
52,"qvinqvaginta dvo"
53,"qvinqvaginta tres"
54,"qvinqvaginta qvattvor"
55,"qvinqvaginta qvinqve"
56,"qvinqvaginta sex"
57,"qvinqvaginta septem"
58,"dvodesexaginta"
59,"vndesexaginta"
